id,quest_title,description,category,difficulty,xp_reward,priority,verification_type,location_hint
1,Clear Trail Blockage,Find and report waste blocking a walking trail,cleanup,easy,80,2,photo_and_location,Riverside trail
2,River Plastic Patrol,Spot plastic waste near a river and submit a clear report,water,easy,90,2,photo_and_location,Riverbank
3,High-Risk Hotspot Check,Visit a high-risk hotspot and document the visible issue,hotspot,medium,120,1,photo_and_location,Live map hotspot
4,Clear Photo Report,Submit a sharp well-lit photo of an environmental problem,reporting,easy,70,3,photo,Any mission area
5,Accurate Location Scout,Submit a mission report with precise GPS location,reporting,easy,70,3,location,Any mission area
6,Neighborhood Waste Sweep,Collect or report small non-biodegradable waste in your area,cleanup,easy,85,3,photo_and_location,Neighborhood street
7,Reuse Reminder,Document one reusable item replacing a single-use item,awareness,easy,60,3,photo,Home or school
8,Wildlife Safety Sweep,Report trash that could harm animals,cleanup,easy,95,2,photo_and_location,Park or riverbank
9,Good Weather Mission Window,Complete a cleanup during safe mild weather,weather,easy,90,3,photo_and_location,Outdoor cleanup zone
10,Hazard Warning Report,Report unknown chemical or unsafe waste without touching it,safety,medium,130,1,photo_and_location,Industrial or roadside area
11,Biodegradable Sort,Separate biodegradable waste from other trash and document it,waste_sorting,easy,75,3,photo,Home or community bin
12,Nature-Friendly Waste Pick,Identify and remove safe organic litter from a public space,cleanup,easy,65,3,photo,Park or garden
13,Wet Dry Waste Setup,Create or report separate wet and dry waste bins,waste_sorting,easy,85,3,photo,Home school or office
14,Hotspot Discovery,Find a new pollution hotspot and submit it with location,hotspot,medium,125,2,photo_and_location,Any polluted area
15,Verified Action Streak,Complete one verified environmental action for XP,rewards,easy,70,3,photo_and_location,Any mission area
16,Broken Glass Alert,Mark broken glass as unsafe and report it clearly,safety,medium,120,1,photo_and_location,Street or park
17,Before After Cleanup,Submit before and after photos of a cleaned spot,cleanup,medium,150,2,before_after_photo,Any cleanup area
18,Community Vote Review,Review a submitted cleanup report and vote honestly,council,easy,60,3,vote,Council page
19,Stream Protection Task,Prioritize waste that is entering or near a stream,water,medium,140,1,photo_and_location,Stream edge
20,Downstream Defender,Remove or report trash that could flow downstream,water,easy,100,2,photo_and_location,River or drain
21,Rain Runoff Watch,After rain identify trash washed toward water or drains,weather,medium,130,2,photo_and_location,Street drain
22,Weather Trigger Scout,Check a weather-triggered mission and report field conditions,weather,easy,100,2,photo_and_location,Weather mission area
23,Severity Signal,Classify a hotspot as low medium or high based on visible risk,hotspot,easy,85,3,photo_and_location,Live map hotspot
24,Overflowing Bin Report,Report an overflowing public bin before litter spreads,waste,easy,80,2,photo_and_location,Public bin
25,Light Debris Cleanup,Remove safe light debris from a mission area,cleanup,easy,90,3,photo_and_location,Park trail or roadside
26,Recyclable Finder,Identify recyclable waste and submit a sorted photo,waste_sorting,easy,75,3,photo,Recycling area
27,Plastic Bag Rescue,Remove or report plastic bags near animals or water,cleanup,easy,95,2,photo_and_location,Park riverbank or street
28,Water Safety Check,Inspect a water mission area from a safe distance,safety,easy,80,2,photo_and_location,Near water
29,Team Cleanup Run,Complete a cleanup with at least one teammate,community,medium,140,2,group_photo,Community area
30,Clear Mission Summary,Submit a short mission note explaining the environmental goal,reporting,easy,65,3,text_and_photo,Any mission area
